MAC,time,rssi
,1568350095,21
,1568349906,25
34:36:3b:73:f0:ce,1568352796,41
,1568352048,43
,1568351962,44
,1568351828,44
,1568351802,45
,1568351714,42
,1568351641,40
,1568351302,40
,1568351234,40
,1568351116,41
,1568351039,42
,1568350899,41
,1568350837,41
,1568350703,42
,1568350636,42
,1568350471,41
,1568350306,41
,1568350239,42
,1568350157,41
,1568350059,41
,1568349971,42
,1568349894,41
78:28:ca:95:f7:75,1568352884,32
,1568352038,32
,1568351951,32
,1568351864,32
,1568351797,32
,1568351730,31
,1568351668,31
,1568351581,32
,1568351498,32
,1568351328,32
,1568351265,32
,1568351203,32
,1568351137,32
,1568351059,32
,1568350910,32
,1568350847,33
,1568350714,32
,1568350636,33
,1568350574,33
,1568350512,33
,1568350394,33
,1568350306,32
,1568350239,33
,1568350167,32
,1568350115,32
,1568349997,32
,1568349930,33
88:71:e5:31:a0:93,1568350972,22
,1568349946,22
dc:a9:04:88:b0:df,1568352813,31
,1568351632,52
,1568351375,35
,1568351173,31
,1568351029,52
,1568350888,46
,1568350621,39
,1568350487,36
,1568350283,50
,1568349987,47
64:5a:ed:4f:ff:be,1568351843,22
,1568351781,21
,1568351595,18
,1568351373,31
,1568351301,29
,1568351213,29
,1568351161,35
,1568350981,29
,1568350748,26
,1568350624,36
,1568350274,30
,1568350011,32
,1568349965,30
5c:aa:fd:03:3e:6e,1568351936,26
,1568351859,25
,1568351724,26
,1568351565,26
,1568351385,26
,1568350925,26
,1568350837,26
,1568350667,26
,1568350471,24
,1568350264,26
,1568350105,26
,1568349950,27
f8:62:14:30:16:83,1568351807,17
,1568351696,17
,1568351108,25
,1568350568,26
,1568350482,32
,1568350362,36
,1568350136,24
,1568350028,28
cc:2d:b7:ef:4e:b2,1568350427,20
,1568350347,21
,1568350067,23
f0:98:9d:f1:3d:8a,1568351983,18
,1568350364,20
,1568350229,17
,1568350093,31
18:b4:30:05:bf:14,1568352816,37
,1568351884,37
,1568351812,37
,1568351651,37
,1568351580,37
,1568351322,37
,1568351161,36
,1568351074,36
,1568350779,37
,1568350388,37
,1568350213,35
,1568350011,36
50:c7:bf:5a:60:90,1568351250,18
,1568350642,17
,1568350036,19
50:c7:bf:5a:85:8f,1568352895,17
,1568352027,15
,1568351980,25
,1568351580,15
,1568351375,22
,1568351105,20
,1568351073,26
,1568350466,21
,1568350163,20
dc:53:60:2c:1a:6e,1568350146,33
18:3b:d2:91:bc:b7,1568352878,56
,1568351959,56
,1568351653,46
,1568351347,58
,1568351041,57
,1568350734,46
,1568350428,57
,1568350122,58
74:29:af:00:fd:59,1568352857,18
,1568351807,16
,1568351457,15
,1568351095,15
,1568350992,16
,1568350795,17
,1568350527,21
,1568350284,17
,1568350156,17
f4:f5:d8:6b:c3:0e,1568352896,20
,1568351651,19
,1568351099,16
,1568350904,19
,1568350211,18
98:f1:70:7a:52:15,1568350189,24
d4:a3:3d:59:61:40,1568350187,29
b8:c1:11:08:38:cc,1568350306,16
c0:d0:12:98:b2:7a,1568350461,21
c4:98:5c:5b:b8:96,1568351348,20
,1568350863,16
,1568350842,15
,1568350460,18
78:28:ca:2c:33:2b,1568350522,15
b8:e9:37:33:88:28,1568350574,16
b0:52:16:bc:7e:e1,1568351427,21
,1568350947,16
e4:e0:a6:78:ea:37,1568352858,20
,1568351317,17
,1568351271,24
34:42:62:5c:ae:c9,1568351498,20
88:e9:fe:56:f0:f6,1568351890,15
,1568351701,21
68:27:37:c8:98:9f,1568351927,24
,1568351802,15
d8:8f:76:56:dd:86,1568352863,15
78:7b:8a:31:dd:c6,1568352789,17
8c:45:00:ac:0e:bb,1568352869,24
